title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Total Recall,movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,369629
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,174826
Sliver,movie,"Drama, Thriller",1993,tt0108162,5.1,36088
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,32009
A Man for All Seasons,movie,"Biography, Drama, History",1966,tt0060665,7.7,38806
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,282911
Coffee and Cigarettes,movie,"Comedy, Drama, Music",2003,tt0379217,7,69295
The Flintstones,movie,"Comedy, Family, Fantasy",1994,tt0109813,5,89605
Cinderella Man,movie,"Biography, Drama, Romance",2005,tt0352248,8,204605
Dead Man,movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106338
Dawn of the Dead,movie,"Action, Horror",2004,tt0363547,7.2,281717
Do the Right Thing,movie,"Comedy, Drama",1989,tt0097216,8,119008
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,208955
Lawrence of Arabia,movie,"Adventure, Biography, Drama",1962,tt0056172,8.3,329935
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,760736
Kindergarten Cop,movie,"Action, Comedy, Crime",1990,tt0099938,6.3,169669
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,497046
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,397989
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,409981
Seven Years in Tibet,movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,162108
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,155969
Adam's Apples,movie,"Comedy, Crime, Drama",2005,tt0418455,7.7,56976
Whale Rider,movie,"Drama, Family",2002,tt0298228,7.5,44863
Point Break,movie,"Action, Crime, Thriller",1991,tt0102685,7.3,214483
The Thirteenth Floor,movie,"Mystery, Sci-Fi, Thriller",1999,tt0139809,7,80140
The Prestige,movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1518863
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,79128
Babel,movie,Drama,2006,tt0449467,7.5,324116
The Queen,movie,"Biography, Drama",2006,tt0436697,7.3,117894
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,261818
The Remains of the Day,movie,"Drama, Romance",1993,tt0107943,7.8,88948
Ghost Rider,movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,261645
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173985
"Don't Worry, I'm Fine",movie,Drama,2006,tt0485241,7.3,11564
The Host,movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,138828
Bridge to Terabithia,movie,"Drama, Family, Fantasy",2007,tt0398808,7.2,182879
Street Kings,movie,"Action, Crime, Thriller",2008,tt0421073,6.8,124125
Mr. Bean's Holiday,movie,"Comedy, Family",2007,tt0453451,6.4,138491
300,movie,"Action, Drama",2006,tt0416449,7.6,892218
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,70921
3-Iron,movie,"Crime, Drama, Romance",2004,tt0423866,7.9,60006
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,113934
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998,tt0120868,6.8,14226
Torrente 2: Mission in Marbella,movie,"Action, Comedy, Crime",2001,tt0257231,6.4,8311
