title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Shooting Guards,movie, Crime,2025,tt36557691,6.60,531.00
Shooting Guards,movie, Documentary,2025,tt36557691,6.60,531.00
The Liver King,movie,Biography,2025,tt36557706,4.20,781.00
The Liver King,movie, Crime,2025,tt36557706,4.20,781.00
The Liver King,movie, Documentary,2025,tt36557706,4.20,781.00
The Fall of Favre,movie,Biography,2025,tt36557720,6.00,733.00
The Fall of Favre,movie, Crime,2025,tt36557720,6.00,733.00
The Fall of Favre,movie, Documentary,2025,tt36557720,6.00,733.00
El Titán: The Adrián González Story,movie,Documentary,2023,tt30333707,8.00,13.00
A Deadly American Marriage,movie,Crime,2025,tt36592065,6.60,4091.00
A Deadly American Marriage,movie, Documentary,2025,tt36592065,6.60,4091.00
Woman to Woman,movie,Drama,1947,tt0040001,7.50,10.00
Woman to Woman,movie, Romance,1947,tt0040001,7.50,10.00
Karol G: Tomorrow Was Beautiful,movie,Documentary,2025,tt36617085,6.90,336.00
Karol G: Tomorrow Was Beautiful,movie, Music,2025,tt36617085,6.90,336.00
The Seat,movie,Documentary,2025,tt36741795,6.70,951.00
The Seat,movie, Short,2025,tt36741795,6.70,951.00
Conan O'Brien: The Kennedy Center Mark Twain Prize for American Humor,movie,Comedy,2025,tt35445387,8.10,950.00
"Welcome, Now Get Lost",movie,Comedy,2025,tt35804779,5.90,25.00
"Welcome, Now Get Lost",movie, Reality-TV,2025,tt35804779,5.90,25.00
Sex and the City,tv,Comedy,1998,tt0159206,7.40,153096.00
Sex and the City,tv, Drama,1998,tt0159206,7.40,153096.00
Sex and the City,tv, Romance,1998,tt0159206,7.40,153096.00
A Different World,tv,Comedy,1987,tt0092339,7.10,8548.00
Martin,tv,Comedy,1992,tt0103488,7.50,11537.00
Martin,tv, Drama,1992,tt0103488,7.50,11537.00
Martin,tv, Romance,1992,tt0103488,7.50,11537.00
The Game,tv,Comedy,2006,tt0772137,6.90,4991.00
The Game,tv, Drama,2006,tt0772137,6.90,4991.00
The Game,tv, Romance,2006,tt0772137,6.90,4991.00
Avatar: The Last Airbender,tv,Action,2005,tt0417299,9.30,407913.00
Avatar: The Last Airbender,tv, Adventure,2005,tt0417299,9.30,407913.00
Avatar: The Last Airbender,tv, Animation,2005,tt0417299,9.30,407913.00
Star Trek,tv,Action,1966,tt0060028,8.40,97184.00
Star Trek,tv, Adventure,1966,tt0060028,8.40,97184.00
Star Trek,tv, Drama,1966,tt0060028,8.40,97184.00
Star Trek: Enterprise,tv,Action,2001,tt0244365,7.60,61964.00
Star Trek: Enterprise,tv, Adventure,2001,tt0244365,7.60,61964.00
Star Trek: Enterprise,tv, Drama,2001,tt0244365,7.60,61964.00
SpongeBob SquarePants,tv,Animation,1999,tt0206512,8.20,119369.00
SpongeBob SquarePants,tv, Comedy,1999,tt0206512,8.20,119369.00
SpongeBob SquarePants,tv, Family,1999,tt0206512,8.20,119369.00
Still Game,tv,Comedy,2002,tt0281491,8.90,10054.00
Ghost Hunters,tv,Reality-TV,2004,tt0426697,6.30,7397.00
Ghost Hunters,tv, Thriller,2004,tt0426697,6.30,7397.00
Sesame Street,tv,Adventure,1969,tt0063951,8.10,16326.00
Sesame Street,tv, Animation,1969,tt0063951,8.10,16326.00
Sesame Street,tv, Comedy,1969,tt0063951,8.10,16326.00
Star Trek: Deep Space Nine,tv,Action,1993,tt0106145,8.10,74375.00
Star Trek: Deep Space Nine,tv, Adventure,1993,tt0106145,8.10,74375.00
Star Trek: Deep Space Nine,tv, Drama,1993,tt0106145,8.10,74375.00
The Powerpuff Girls,tv,Action,1998,tt0175058,7.30,50772.00
The Powerpuff Girls,tv, Adventure,1998,tt0175058,7.30,50772.00
The Powerpuff Girls,tv, Animation,1998,tt0175058,7.30,50772.00
Reba,tv,Comedy,2001,tt0284722,6.80,18961.00
Reba,tv, Drama,2001,tt0284722,6.80,18961.00
Star Trek: The Next Generation,tv,Action,1987,tt0092455,8.70,144140.00
Star Trek: The Next Generation,tv, Adventure,1987,tt0092455,8.70,144140.00
Star Trek: The Next Generation,tv, Drama,1987,tt0092455,8.70,144140.00
Curious George,tv,Adventure,2006,tt0449545,7.20,4165.00
Curious George,tv, Animation,2006,tt0449545,7.20,4165.00
Curious George,tv, Comedy,2006,tt0449545,7.20,4165.00
Tom and Jerry Tales,tv,Animation,2006,tt0780438,7.40,4156.00
Tom and Jerry Tales,tv, Comedy,2006,tt0780438,7.40,4156.00
Tom and Jerry Tales,tv, Family,2006,tt0780438,7.40,4156.00
Chappelle's Show,tv,Comedy,2003,tt0353049,8.80,76278.00
Chappelle's Show,tv, Music,2003,tt0353049,8.80,76278.00
Peep Show,tv,Comedy,2003,tt0387764,8.70,70771.00
Neon Genesis Evangelion,tv,Action,1995,tt0112159,8.50,98380.00
Neon Genesis Evangelion,tv, Animation,1995,tt0112159,8.50,98380.00
Neon Genesis Evangelion,tv, Drama,1995,tt0112159,8.50,98380.00
Skins,tv,Drama,2007,tt0840196,8.20,97266.00
Yu-Gi-Oh! Duel Monsters,tv,Action,2000,tt0247902,8.20,4112.00
Yu-Gi-Oh! Duel Monsters,tv, Adventure,2000,tt0247902,8.20,4112.00
Yu-Gi-Oh! Duel Monsters,tv, Animation,2000,tt0247902,8.20,4112.00
Ouran High School Host Club,tv,Animation,2006,tt0816397,8.10,12769.00
Ouran High School Host Club,tv, Comedy,2006,tt0816397,8.10,12769.00
Ouran High School Host Club,tv, Romance,2006,tt0816397,8.10,12769.00
Fat Friends,tv,Drama,2000,tt0264246,7.40,1010.00
Ghost in the Shell: Stand Alone Complex,tv,Action,2002,tt0346314,8.50,21779.00
Ghost in the Shell: Stand Alone Complex,tv, Animation,2002,tt0346314,8.50,21779.00
Ghost in the Shell: Stand Alone Complex,tv, Crime,2002,tt0346314,8.50,21779.00
How I Met Your Mother,tv,Comedy,2005,tt0460649,8.30,760517.00
How I Met Your Mother,tv, Drama,2005,tt0460649,8.30,760517.00
How I Met Your Mother,tv, Romance,2005,tt0460649,8.30,760517.00
Mad Men,tv,Drama,2007,tt0804503,8.70,276011.00
The Graham Norton Show,tv,Comedy,2007,tt0924651,8.40,13813.00
The Graham Norton Show,tv, Music,2007,tt0924651,8.40,13813.00
The Graham Norton Show,tv, Talk-Show,2007,tt0924651,8.40,13813.00
Six Feet Under,tv,Comedy,2001,tt0248654,8.70,159344.00
Six Feet Under,tv, Drama,2001,tt0248654,8.70,159344.00
Gossip Girl,tv,Drama,2007,tt0397442,7.50,206551.00
Gossip Girl,tv, Romance,2007,tt0397442,7.50,206551.00
Breaking Bad,tv,Crime,2008,tt0903747,9.50,2341141.00
Breaking Bad,tv, Drama,2008,tt0903747,9.50,2341141.00
Breaking Bad,tv, Thriller,2008,tt0903747,9.50,2341141.00
Seinfeld,tv,Comedy,1989,tt0098904,8.90,369752.00
The Walking Dead,tv,Drama,2010,tt1520211,8.10,1145301.00
The Walking Dead,tv, Horror,2010,tt1520211,8.10,1145301.00
The Walking Dead,tv, Thriller,2010,tt1520211,8.10,1145301.00
Dexter,tv,Crime,2006,tt0773262,8.60,848017.00
Dexter,tv, Drama,2006,tt0773262,8.60,848017.00
Dexter,tv, Mystery,2006,tt0773262,8.60,848017.00
House,tv,Drama,2004,tt0412142,8.70,561195.00
House,tv, Mystery,2004,tt0412142,8.70,561195.00
Arrow,tv,Action,2012,tt2193021,7.50,454603.00
Arrow,tv, Adventure,2012,tt2193021,7.50,454603.00
Arrow,tv, Crime,2012,tt2193021,7.50,454603.00
Grey's Anatomy,tv,Drama,2005,tt0413573,7.60,360607.00
Grey's Anatomy,tv, Romance,2005,tt0413573,7.60,360607.00
The Big Bang Theory,tv,Comedy,2007,tt0898266,8.10,909764.00
The Big Bang Theory,tv, Romance,2007,tt0898266,8.10,909764.00
Orange Is the New Black,tv,Comedy,2013,tt2372162,8.00,329377.00
Orange Is the New Black,tv, Crime,2013,tt2372162,8.00,329377.00
Orange Is the New Black,tv, Drama,2013,tt2372162,8.00,329377.00
House of Cards,tv,Drama,2013,tt1856010,8.60,547637.00
Attack on Titan,tv,Action,2013,tt2560140,9.10,615631.00
Attack on Titan,tv, Adventure,2013,tt2560140,9.10,615631.00
Attack on Titan,tv, Animation,2013,tt2560140,9.10,615631.00
WWE Smackdown!,tv,Action,1999,tt0227972,7.30,7487.00
WWE Smackdown!,tv, Sport,1999,tt0227972,7.30,7487.00
Home Improvement,tv,Comedy,1991,tt0101120,7.20,51429.00
Home Improvement,tv, Family,1991,tt0101120,7.20,51429.00
The Adventures of Tintin,tv,Action,1991,tt0179552,8.30,19964.00
The Adventures of Tintin,tv, Adventure,1991,tt0179552,8.30,19964.00
The Adventures of Tintin,tv, Animation,1991,tt0179552,8.30,19964.00
Justice League,tv,Action,2001,tt0275137,8.50,54933.00
Justice League,tv, Adventure,2001,tt0275137,8.50,54933.00
Justice League,tv, Animation,2001,tt0275137,8.50,54933.00
Supernatural,tv,Drama,2005,tt0460681,8.40,513396.00
Supernatural,tv, Fantasy,2005,tt0460681,8.40,513396.00
Supernatural,tv, Horror,2005,tt0460681,8.40,513396.00
Friends,tv,Comedy,1994,tt0108778,8.90,1147232.00
Friends,tv, Romance,1994,tt0108778,8.90,1147232.00
Project Runway,tv,Reality-TV,2004,tt0437741,7.40,11903.00
The Bernie Mac Show,tv,Comedy,2001,tt0285341,7.20,8931.00
The Bernie Mac Show,tv, Drama,2001,tt0285341,7.20,8931.00
The Bernie Mac Show,tv, Family,2001,tt0285341,7.20,8931.00
Monk,tv,Comedy,2002,tt0312172,8.10,98704.00
Monk,tv, Crime,2002,tt0312172,8.10,98704.00
Monk,tv, Drama,2002,tt0312172,8.10,98704.00
Johnny Test,tv,Action,2005,tt0454349,5.40,10459.00
Johnny Test,tv, Adventure,2005,tt0454349,5.40,10459.00
Johnny Test,tv, Animation,2005,tt0454349,5.40,10459.00
Kath & Kim,tv,Comedy,2002,tt0272397,8.40,5523.00
Zoey 101,tv,Comedy,2005,tt0415463,6.20,18382.00
Zoey 101,tv, Drama,2005,tt0415463,6.20,18382.00
Zoey 101,tv, Family,2005,tt0415463,6.20,18382.00
Winx Club,tv,Action,2004,tt0421482,6.30,8742.00
Winx Club,tv, Adventure,2004,tt0421482,6.30,8742.00
Winx Club,tv, Animation,2004,tt0421482,6.30,8742.00
Star Trek: Voyager,tv,Action,1995,tt0112178,7.90,81208.00
Star Trek: Voyager,tv, Adventure,1995,tt0112178,7.90,81208.00
Star Trek: Voyager,tv, Drama,1995,tt0112178,7.90,81208.00
Shameless,tv,Comedy,2004,tt0377260,8.00,19801.00
Shameless,tv, Crime,2004,tt0377260,8.00,19801.00
Shameless,tv, Drama,2004,tt0377260,8.00,19801.00
Star Trek: The Animated Series,tv,Action,1973,tt0069637,7.20,8777.00
Star Trek: The Animated Series,tv, Adventure,1973,tt0069637,7.20,8777.00
Star Trek: The Animated Series,tv, Animation,1973,tt0069637,7.20,8777.00
Ratz,tv,Animation,2003,tt0429421,6.50,218.00
Ratz,tv, Comedy,2003,tt0429421,6.50,218.00
Ratz,tv, Family,2003,tt0429421,6.50,218.00
Drake & Josh,tv,Comedy,2004,tt0363328,7.70,45412.00
Drake & Josh,tv, Family,2004,tt0363328,7.70,45412.00
Batman: The Animated Series,tv,Action,1992,tt0103359,9.00,127580.00
Batman: The Animated Series,tv, Adventure,1992,tt0103359,9.00,127580.00
Batman: The Animated Series,tv, Animation,1992,tt0103359,9.00,127580.00
Good Luck!!,tv,Drama,2003,tt0399971,7.50,771.00
Scout's Safari,tv,Action,2002,tt0353101,7.70,109.00
Scout's Safari,tv, Adventure,2002,tt0353101,7.70,109.00
Scout's Safari,tv, Comedy,2002,tt0353101,7.70,109.00
Saiyûki,tv,Action,2006,tt0805320,6.60,79.00
Saiyûki,tv, Adventure,2006,tt0805320,6.60,79.00
